Date,Open,High,Low,Close,Adj Close,Volume
2020-02-07,37000.000000,37000.000000,37000.000000,37000.000000,36999.996094,23
2020-02-10,37000.000000,37000.000000,37000.000000,37000.000000,36999.996094,164
2020-02-11,37000.000000,37000.000000,37000.000000,37000.000000,36999.996094,1949
2020-02-12,37000.000000,37000.000000,37000.000000,37000.000000,36999.996094,185
2020-02-13,37000.000000,37000.000000,37000.000000,37000.000000,36999.996094,0
2020-02-14,37000.000000,37000.000000,37000.000000,37000.000000,36999.996094,0
2020-02-17,37000.000000,37000.000000,37000.000000,37000.000000,36999.996094,0
2020-02-18,36000.000000,36000.000000,36000.000000,36000.000000,36000.000000,82
2020-02-19,36000.000000,36000.000000,36000.000000,36000.000000,36000.000000,280000
2020-02-20,36000.000000,36000.000000,36000.000000,36000.000000,36000.000000,280000
2020-02-21,36000.000000,36000.000000,36000.000000,36000.000000,36000.000000,0
2020-02-26,32000.000000,32000.000000,32000.000000,32000.000000,32000.000000,214
2020-02-27,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,250
2020-02-28,31000.000000,31000.000000,31000.000000,31000.000000,31000.000000,118
2020-03-02,29999.000000,29999.000000,29999.000000,29999.000000,29999.000000,1
2020-03-03,29500.000000,29500.000000,29500.000000,29500.000000,29500.000000,375
2020-03-04,29500.000000,29500.000000,29500.000000,29500.000000,29500.000000,0
2020-03-05,29000.000000,29000.000000,29000.000000,29000.000000,29000.000000,3000
2020-03-06,29000.000000,29000.000000,29000.000000,29000.000000,29000.000000,0
2020-03-09,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,271
2020-03-10,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,284
2020-03-11,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,47
2020-03-12,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,20
2020-03-13,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,75
2020-03-16,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,0
2020-03-17,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,0
2020-03-18,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,0
2020-03-20,29650.000000,29650.000000,29650.000000,29650.000000,29650.000000,6
2020-03-23,27500.000000,27500.000000,27500.000000,27500.000000,27500.000000,279
2020-03-24,27500.000000,27500.000000,27500.000000,27500.000000,27500.000000,600
2020-03-25,27000.000000,27000.000000,27000.000000,27000.000000,27000.000000,30983
2020-03-26,26999.990234,26999.990234,26999.990234,26999.990234,26999.990234,35
2020-03-27,26500.000000,26500.000000,26500.000000,26500.000000,26500.000000,1661
2020-03-30,27000.000000,27000.000000,27000.000000,27000.000000,27000.000000,252
2020-03-31,27000.000000,27000.000000,27000.000000,27000.000000,27000.000000,33
2020-04-01,26500.000000,26500.000000,26500.000000,26500.000000,26500.000000,551
2020-04-02,30001.000000,30001.000000,30001.000000,30001.000000,30001.000000,1340
2020-04-03,36000.000000,36000.000000,36000.000000,36000.000000,36000.000000,1691
2020-04-06,42995.000000,42995.000000,42995.000000,42995.000000,42995.000000,334
2020-04-07,45000.000000,45000.000000,45000.000000,45000.000000,45000.000000,1551
2020-04-08,49995.000000,49995.000000,49995.000000,49995.000000,49995.000000,155
2020-04-13,55000.000000,55000.000000,55000.000000,55000.000000,55000.000000,533
2020-04-14,56500.000000,56500.000000,56500.000000,56500.000000,56500.000000,283834
2020-04-15,56500.000000,56500.000000,56500.000000,56500.000000,56500.000000,19
2020-04-16,50000.000000,50000.000000,50000.000000,50000.000000,50000.000000,596
2020-04-17,49995.000000,49995.000000,49995.000000,49995.000000,49995.000000,4
2020-04-20,50000.000000,50000.000000,50000.000000,50000.000000,50000.000000,300
2020-04-21,51995.000000,51995.000000,51995.000000,51995.000000,51995.000000,1148
2020-04-22,51000.000000,51000.000000,51000.000000,51000.000000,51000.000000,1002
2020-04-23,54995.000000,54995.000000,54995.000000,54995.000000,54995.000000,3246
2020-04-24,53000.000000,53000.000000,53000.000000,53000.000000,53000.000000,191
2020-04-27,50000.000000,50000.000000,50000.000000,50000.000000,50000.000000,1030
2020-04-28,55000.000000,55000.000000,55000.000000,55000.000000,55000.000000,484
2020-04-29,62000.000000,62000.000000,62000.000000,62000.000000,62000.000000,1185
2020-04-30,70000.000000,70000.000000,70000.000000,70000.000000,70000.000000,130
2020-05-04,69000.007813,69000.007813,69000.007813,69000.007813,69000.007813,582
2020-05-05,69995.000000,69995.000000,69995.000000,69995.000000,69995.000000,1673
2020-05-06,77500.000000,77500.000000,77500.000000,77500.000000,77500.000000,7187
2020-05-07,85000.000000,85000.000000,85000.000000,85000.000000,85000.000000,70
2020-05-08,90000.000000,90000.000000,90000.000000,90000.000000,90000.000000,204
2020-05-11,95500.000000,95500.000000,95500.000000,95500.000000,95500.000000,267
2020-05-12,96000.000000,96000.000000,96000.000000,96000.000000,96000.000000,27
2020-05-13,92999.992188,92999.992188,92999.992188,92999.992188,92999.992188,597
2020-05-14,91995.000000,91995.000000,91995.000000,91995.000000,91995.000000,161
2020-05-15,84500.000000,84500.000000,84500.000000,84500.000000,84500.000000,259
2020-05-18,81400.000000,81400.000000,81400.000000,81400.000000,81400.000000,534
2020-05-19,81000.000000,81000.000000,81000.000000,81000.000000,81000.000000,488
2020-05-20,80500.000000,80500.000000,80500.000000,80500.000000,80500.000000,59
2020-05-21,83500.000000,83500.000000,83500.000000,83500.000000,83500.000000,15
2020-05-22,84000.000000,84000.000000,84000.000000,84000.000000,84000.000000,252
