Date,Price,Open,High,Low,Change %
2021-12-03,5,5,5,5,0.00%
2021-12-02,5,5,5,5,0.00%
2021-12-01,5,5,5,5,0.00%
2021-11-30,5,5,5,5,0.00%
2021-11-29,5,5,5,5,0.00%
2021-11-26,5,5,5,5,0.00%
2021-11-25,5,5,5,5,0.00%
2021-11-24,5,5,5,5,0.00%
2021-11-23,5,5,5,5,0.00%
2021-11-19,5,5,5,5,0.00%
2021-11-18,5,5,5,5,0.00%
2021-11-17,5,5,5,5,0.00%
2021-11-16,5,5,5,5,0.00%
2021-11-15,4,4,4,4,0.00%
2021-11-12,4,4,4,4,0.00%
2021-11-11,4,4,4,4,0.00%
2021-11-10,4,4,4,4,0.00%
2021-11-09,4,4,4,4,0.00%
2021-11-08,4,4,4,4,0.00%
2021-11-05,4,4,4,4,0.00%
2021-11-04,4,4,4,4,0.00%
2021-11-03,4,4,4,4,0.00%
2021-11-02,4,4,4,4,0.00%
2021-10-29,4,4,4,4,0.00%
2021-10-28,4,4,4,4,0.00%
2021-10-27,4,4,4,4,0.00%
2021-10-26,4,4,4,4,0.00%
2021-10-25,4,4,4,4,0.00%
2021-10-22,4,4,4,4,0.00%
2021-10-21,4,4,4,4,0.00%
2021-10-20,4,4,4,4,0.00%
2021-10-19,4,4,4,4,0.00%
2021-10-18,4,4,4,4,0.00%
2021-10-15,4,4,4,4,0.00%
2021-10-14,4,4,4,4,0.00%
2021-10-13,4,4,4,4,0.00%
2021-10-11,4,4,4,4,0.00%
2021-10-08,4,4,4,4,0.00%
2021-10-07,4,4,4,4,0.00%
2021-10-06,4,4,4,4,0.00%
2021-10-05,4,4,4,4,0.00%
2021-10-04,4,4,4,4,0.00%
2021-09-29,4,4,4,4,0.00%
2021-09-28,4,4,4,4,0.00%
2021-09-27,4,4,4,4,-100.00%
2021-09-24,4093958,4099088,4099088,4099088,1.57%
2021-09-23,4030769,4027089,4035821,4027089,0.22%
2021-09-22,4022048,4027089,4027089,4027089,0.14%
2021-09-21,4016251,4021284,4021284,4021284,-0.43%
2021-09-20,4033688,4038743,4038743,4038743,0.05%
2021-09-17,4031726,4036778,4036778,4036778,-0.17%
2021-09-16,4038492,4043553,4043553,4043553,0.63%
2021-09-15,4013220,4018249,4018249,4018249,-0.21%
2021-09-14,4021575,4026615,4026615,4026615,0.89%
2021-09-13,3986023,3991018,3991018,3991018,-1.52%
2021-09-10,4047385,4052457,4052457,4052457,-0.66%
2021-09-09,4074338,4079444,4079444,4079444,0.35%
2021-09-08,4060252,4065340,4065340,4065340,-0.04%
2021-09-07,4061687,4066777,4066777,4066777,-0.02%
2021-09-06,4062684,4067775,4067775,4067775,0.35%
2021-09-03,4048640,4053714,4053714,4053714,-0.69%
2021-09-02,4076919,4082028,4082028,4082028,-0.32%
2021-09-01,4089858,4094983,4094983,4094983,-0.65%
2021-08-31,4116707,4121866,4121866,4121866,-0.42%
2021-08-30,4134142,4139322,4139322,4139322,0.25%
2021-08-27,4123962,4129130,4129130,4129130,-0.13%
2021-08-26,4129511,4134686,4134686,4134686,-0.18%
2021-08-25,4136932,4142117,4142117,4142117,0.62%
2021-08-24,4111349,4116501,4116501,4116501,-0.19%
2021-08-23,4119337,4124499,4124499,4124499,0.15%
2021-08-20,4113156,4118310,4118310,4118310,0.03%
2021-08-19,4111918,4117071,4117071,4117071,0.90%
2021-08-18,4075159,4080266,4080266,4080266,-1.08%
2021-08-17,4119840,4125002,4125002,4125002,0.48%
2021-08-16,4100222,4105360,4105360,4105360,-0.60%
2021-08-13,4125149,4130319,4130319,4130319,0.54%
2021-08-12,4103082,4108224,4108224,4108224,-0.09%
2021-08-11,4106762,4111908,4111908,4111908,0.55%
2021-08-10,4084266,4089384,4089384,4089384,0.35%
2021-08-09,4070177,4075278,4075278,4075278,0.28%
2021-08-06,4058651,4035734,4063737,4035734,0.57%
2021-08-05,4035734,4035734,4035734,4035734,0.24%
2021-08-04,4026104,4031150,4031150,4031150,0.08%
2021-08-03,4023022,4028063,4028063,4028063,0.36%
2021-08-02,4008446,4013469,4013469,4013469,0.07%
2021-07-30,4005607,4010626,4010626,4010626,0.82%
2021-07-29,3973216,3978195,3978195,3978195,-1.32%
2021-07-28,4026542,4031588,4031588,4031588,1.20%
2021-07-27,3978871,3983857,3983857,3983857,2.65%
2021-07-26,3876099,3880956,3880956,3880956,2.67%
2021-07-23,3775192,3768976,3779923,3768976,0.16%
2021-07-22,3768976,3768976,3768976,3768976,1.77%
2021-07-21,3703418,3708059,3708059,3708059,1.80%
2021-07-20,3637814,3642372,3642372,3642372,0.79%
2021-07-19,3609466,3613989,3613989,3613989,1.98%
2021-07-16,3539413,3543849,3543849,3543849,3.05%
2021-07-15,3434786,3439091,3439091,3439091,1.53%
2021-07-14,3383173,3387412,3387412,3387412,2.11%
2021-07-13,3313354,3317506,3317506,3317506,0.93%
2021-07-12,3282856,3286970,3286970,3286970,0.46%
2021-07-09,3267736,3271831,3271831,3271831,0.47%
2021-07-08,3252526,3256602,3256602,3256602,0.41%
2021-07-07,3239204,3243263,3243263,3243263,0.11%
2021-07-06,3235600,3239654,3239654,3239654,0.06%
2021-07-02,3233750,3237802,3237802,3237802,-0.14%
2021-07-01,3238205,3242263,3242263,3242263,0.80%
2021-06-30,3212547,3216573,3216573,3216573,0.52%
2021-06-29,3196069,3200075,3200075,3200075,0.22%
2021-06-25,3188911,3192907,3192907,3192907,0.42%
2021-06-23,3175455,3179434,3179434,3179434,0.15%
2021-06-22,3170571,3174544,3174544,3174544,0.99%
2021-06-21,3139429,3143363,3143363,3143363,0.28%
2021-06-18,3130752,3134676,3134676,3134676,0.80%
2021-06-17,3106023,3109915,3109915,3109915,0.28%
2021-06-16,3097272,3101153,3101153,3101153,-0.26%
2021-06-15,3105260,3109151,3109151,3109151,-0.24%
2021-06-11,3112623,3116524,3116524,3116524,-0.42%
2021-06-10,3125808,3129725,3129725,3129725,0.33%
2021-06-09,3115612,3119516,3119516,3119516,-0.14%
2021-06-08,3119881,3123791,3123791,3123791,0.54%
2021-06-07,3103264,3107152,3107152,3107152,-0.09%
2021-06-04,3106133,3110025,3110025,3110025,0.41%
2021-06-03,3093441,3097318,3097318,3097318,0.12%
2021-06-02,3089584,3093455,3093455,3093455,-0.57%
2021-06-01,3107406,3111300,3111300,3111300,-0.02%
2021-05-31,3107977,3111872,3111872,3111872,0.48%
2021-05-28,3093112,3096988,3096988,3096988,1.11%
2021-05-27,3059039,3062873,3062873,3062873,-0.12%
2021-05-26,3062607,3066445,3066445,3066445,0.48%
2021-05-25,3047911,3051731,3051731,3051731,0.34%
2021-05-21,3037517,3041324,3041324,3041324,-0.16%
2021-05-20,3042401,3046213,3046213,3046213,0.76%
2021-05-19,3019362,3023146,3023146,3023146,2.44%
2021-05-18,2947457,2951151,2951151,2951151,0.78%
2021-05-17,2924620,2928285,2928285,2928285,-1.17%
2021-05-14,2959262,2962971,2962971,2962971,1.95%
2021-05-13,2902570,2906207,2906207,2906207,2.64%
2021-05-12,2827948,2831491,2831491,2831491,0.36%
2021-05-11,2817818,2821349,2821349,2821349,-0.41%
2021-05-10,2829478,2833024,2833024,2833024,-0.39%
2021-05-07,2840491,2844050,2844050,2844050,-0.50%
2021-05-06,2854834,2858411,2858411,2858411,-0.15%
2021-05-05,2859159,2862742,2862742,2862742,0.91%
2021-05-04,2833358,2836909,2836909,2836909,1.56%
2021-05-03,2789877,2793373,2793373,2793373,-0.92%
2021-04-30,2815817,2819346,2819346,2819346,2.79%
2021-04-29,2739287,2742719,2742719,2742719,0.79%
2021-04-28,2717906,2721312,2721312,2721312,1.33%
2021-04-27,2682108,2685469,2685469,2685469,-1.19%
2021-04-26,2714523,2717925,2717925,2717925,2.65%
2021-04-23,2644542,2644542,2644542,2644542,5.78%
2021-04-22,2500064,2503197,2503197,2503197,-0.48%
2021-04-21,2512036,2515184,2515184,2515184,2.06%
2021-04-20,2461292,2464377,2464377,2464377,4.39%
2021-04-16,2357676,2360631,2360631,2360631,-0.76%
2021-04-15,2375839,2378817,2378817,2378817,2.88%
2021-04-14,2309375,2312269,2312269,2312269,-0.85%
2021-04-13,2329146,2332065,2332065,2332065,1.94%
2021-04-12,2284762,2287625,2287625,2287625,2.44%
2021-04-09,2230234,2233029,2233029,2233029,4.36%
2021-04-08,2137158,2139836,2139836,2139836,1.54%
2021-04-07,2104707,2107344,2107344,2107344,1.50%
2021-04-06,2073524,2076122,2076122,2076122,0.38%
2021-04-05,2065678,2068266,2068266,2068266,4.21%
2021-03-31,1982217,1984701,1984701,1984701,0.97%
2021-03-30,1963144,1965604,1965604,1965604,1.91%
2021-03-29,1926348,1928762,1928762,1928762,2.17%
2021-03-26,1885352,1887714,1887714,1887714,2.00%
2021-03-25,1848340,1850656,1850656,1850656,0.38%
2021-03-24,1841314,1843621,1843621,1843621,0.99%
2021-03-23,1823341,1825626,1825626,1825626,0.33%
2021-03-22,1817256,1819534,1819534,1819534,0.81%
2021-03-19,1802738,2149441,2149441,1802224,0.13%
2021-03-18,1800482,1802738,1802738,1802738,0.03%
2021-03-17,1799969,1802224,1802224,1802224,-0.98%
2021-03-16,1817765,1820042,1820042,1820042,-0.27%
2021-03-15,1822717,1825001,1825001,1825001,-1.15%
2021-03-12,1843946,1846257,1846257,1846257,-0.55%
2021-03-11,1854107,1856431,1856431,1856431,-0.84%
2021-03-10,1869782,1872125,1872125,1872125,-0.39%
2021-03-09,1877164,1879516,1879516,1879516,-0.33%
2021-03-08,1883316,1885676,1885676,1885676,-0.06%
2021-03-05,1884462,1886823,1886823,1886823,0.78%
2021-03-04,1869919,1872262,1872262,1872262,0.51%
2021-03-03,1860384,1862715,1862715,1862715,0.10%
2021-03-02,1858595,1860924,1860924,1860924,-0.14%
2021-03-01,1861193,1863526,1863526,1863526,0.01%
2021-02-26,1860950,1863282,1863282,1863282,-0.31%
2021-02-25,1866683,1869022,1869022,1869022,-0.07%
2021-02-24,1867970,1870311,1870311,1870311,2.35%
2021-02-23,1825098,1827385,1827385,1827385,1.44%
2021-02-22,1799191,1801445,1801445,1801445,2.62%
2021-02-19,1753215,1755412,1755412,1755412,2.16%
2021-02-18,1716125,1718276,1718276,1718276,-0.05%
2021-02-17,1716984,1719136,1719136,1719136,-0.41%
2021-02-12,1723975,1726136,1726136,1726136,-2.25%
2021-02-11,1763736,1765946,1765946,1765946,-1.12%
2021-02-10,1783777,1786012,1786012,1786012,-0.86%
2021-02-09,1799307,1801562,1801562,1801562,-0.48%
2021-02-08,1807932,1810197,1810197,1810197,-1.36%
2021-02-05,1832830,1835127,1835127,1835127,0.49%
2021-02-04,1823835,1826120,1826120,1826120,2.15%
2021-02-03,1785450,1787688,1787688,1787688,-0.02%
2021-02-02,1785732,1787970,1787970,1787970,-0.83%
2021-02-01,1800748,1803004,1803004,1803004,-0.89%
2021-01-29,1816981,1819258,1819258,1819258,-0.11%
2021-01-28,1819068,1821348,1821348,1821348,0.00%
2021-01-27,1819152,1821431,1821431,1821431,2.07%
2021-01-26,1782224,1784457,1784457,1784457,3.15%
2021-01-25,1727726,1727726,1729891,1729891,-0.13%
2021-01-22,1729891,1736588,1736588,1729891,4.99%
2021-01-21,1647645,1649710,1649710,1649710,5.79%
2021-01-20,1557479,1559430,1559430,1559430,0.39%
2021-01-19,1551432,1553376,1553376,1553376,0.41%
